A4GALT	NM_017436
AARS1	NM_001605
ABCB11	NM_003742
ABCB6	NM_005689
ABCC2	NM_000392
ABCC4	NM_005845
ABCC6	NM_001171
ABCD1	NM_000033
ABCG2	NM_004827
ABCG5	NM_022436
ABCG8	NM_022437
ABHD5	NM_016006
ABO	NM_020469
ACAD8	NM_014384
ACADM	NM_000016
ACADSB	NM_001609
ACAT1	NM_000019
ACD	NM_001082486
ACKR1	NM_002036
ACP5	NM_001611
ACTA1	NM_001100
ACTB	NM_001101
ACTC1	NM_005159
ACTN1	NM_001130004
ACTN2	NM_001103
ACVRL1	NM_000020
ADA	NM_000022
ADA2	NM_001282225
ADAM17	NM_003183
ADAMTS13	NM_139025
ADAR	NM_001111
ADCY1	NM_021116
ADGRV1	NM_032119
ADORA3	NM_000677
AFG3L2	NM_006796
AGK	NM_018238
AGRN	NM_198576
AHSP	NM_016633
AICDA	NM_020661
AIP	NM_003977
AIRE	NM_000383
AK1	NM_000476
AK2	NM_013411
AKAP9	NM_005751
AKT2	NM_001626
AKT3	NM_005465
ALAS2	NM_000032
ALDOB	NM_000035
ALG6	NM_013339
ALK	NM_004304
ALMS1	NM_015120
ALOX12B	NM_001139
ALS2	NM_020919
ALX3	NM_006492
ALX4	NM_021926
AMER1	NM_152424
AMN	NM_030943
AMT	NM_000481
ANG	NM_001145
ANKH	NM_054027
ANKRD1	NM_014391
ANKRD26	NM_014915
ANO5	NM_213599
AP1S1	NM_001283
AP3B1	NM_003664
AP3D1	NM_001261826
AP4E1	NM_007347
AP5Z1	NM_014855
APOA1	NM_000039
APOL1	NM_145343
AQP1	NM_198098
AQP2	NM_000486
AQP3	NM_004925
AR	NM_000044
ARHGAP26	NM_015071
ARHGEF10	NM_014629
ARID1A	NM_006015
ARL14EP	NM_152316
ARPC1B	NM_005720
ART4	NM_021071
ASXL2	NM_018263
ATM	NM_000051
ATP13A2	NM_022089
ATP1A2	NM_000702
ATP1A3	NM_152296
ATP6V0A4	NM_020632
ATP6V1B1	NM_001692
ATP8B1	NM_005603
ATR	NM_001184
ATRX	NM_000489
ATXN1	NM_000332
ATXN2	NM_002973
ATXN3	NM_004993
ATXN7	NM_000333
AUH	NM_001698
AVP	NM_000490
AVPR2	NM_000054
AXIN2	NM_004655
B2M	NM_004048
B3GALNT1	NM_033169
B3GALT6	NM_080605
BAG3	NM_004281
BAP1	NM_004656
BARD1	NM_000465
BBS10	NM_024685
BCL10	NM_003921
BCR	NM_004327
BICC1	NM_001080512
BIN1	NM_139343
BIRC3	NM_001165
BLM	NM_000057
BLNK	NM_013314
BLOC1S3	NM_212550
BLOC1S6	NM_012388
BMP10	NM_014482
BMPER	NM_001365308
BMPR1A	NM_004329
BMPR2	NM_001204
BRAF	NM_004333
BRCA1	NM_007294
BRCA2	NM_000059
BRIP1	NM_032043
BSND	NM_057176
BTG1	NM_001731
BTK	NM_000061
BUB1B	NM_001211
C1QA	NM_015991
C1QB	NM_000491
C1R	NM_001733
C1S	NM_001734
C2	NM_000063
C3	NM_000064
C4A	NM_007293
C4B	NM_001002029
C5	NM_001735
C6	NM_000065
C7	NM_000587
C8A	NM_000562
C8B	NM_000066
C8G	NM_000606
C9	NM_001737
C9orf72	NM_001256054
CA5A	NM_001739
CACNA1A	NM_001127221
CACNA2D1	NM_000722
CACNG2	NM_006078
CALM3	NM_005184
CALR	NM_004343
CALR3	NM_145046
CAPN3	NM_000070
CARD14	NM_001366385
CARD9	NM_052813
CASP10	NM_032977
CASQ2	NM_001232
CAV3	NM_033337
CAVIN4	NM_001018116
CBL	NM_005188
CBLB	NM_170662
CBLC	NM_012116
CBS	NM_000071
CCBE1	NM_133459
CCDC50	NM_178335
CCDC8	NM_032040
CCND1	NM_053056
CCT5	NM_012073
CD151	NM_004357
CD164	NM_006016
CD19	NM_001770
CD247	NM_198053
CD27	NM_001242
CD3D	NM_000732
CD3E	NM_000733
CD3G	NM_000073
CD40	NM_001250
CD40LG	NM_000074
CD46	NM_002389
CD55	NM_000574
CD59	NM_203330
CD79A	NM_001783
CD79B	NM_001039933
CD81	NM_004356
CD8A	NM_001768
CD9	NM_001769
CD99	NM_002414
CDAN1	NM_138477
CDC14A	NM_003672
CDC6	NM_001254
CDC73	NM_024529
CDH1	NM_004360
CDK12	NM_016507
CDK4	NM_000075
CDKN1C	NM_000076
CEACAM16	NM_001039213
CEBPA	NM_004364
CEBPE	NM_001805
CEP290	NM_025114
CEP57	NM_014679
CFB	NM_001710
CFD	NM_001928
CFH	NM_000186
CFHR1	NM_002113
CFHR2	NM_005666
CFHR3	NM_021023
CFHR4	NM_001201550
CFHR5	NM_030787
CFI	NM_000204
CFL2	NM_138638
CFP	NM_002621
CFTR	NM_000492
CHD7	NM_017780
CHEK2	NM_007194
CHKB	NM_005198
CHRNE	NM_000080
CHRNG	NM_005199
CHST14	NM_130468
CHST6	NM_021615
CIITA	NM_000246
CISD2	NM_001008388
CLEC7A	NM_197947
CLN5	NM_006493
CLN6	NM_017882
CLN8	NM_018941
CLPB	NM_001258392
CLPP	NM_006012
COL17A1	NM_000494
COL1A1	NM_000088
COL1A2	NM_000089
COL3A1	NM_000090
COL4A1	NM_001845
COL4A3	NM_000091
COL4A4	NM_000092
COL4A6	NM_033641
COL5A2	NM_000393
